Statistics for ICV ML.  Version 1
Manager: RHEL64 U-2022.12-SP4.9133772 2023/08/28 
Flow=0
SharedRecipe=0
Subflows=
CMEM: 5702.0.0 16307 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 6090.0.0 17364 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 5707.0.0 16324 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 6100.0.0 17398 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 5717.0.0 16358 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 6095.0.0 17381 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 5712.0.0 16341 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 6105.0.0 17415 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 5722.0.0 16375 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 7674.0.0 20533 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.70 0.00 0.00
CMEM: 7871.0.0 21069 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 6110.0.0 17432 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 5727.0.0 16392 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.68 0.00 0.00
CMEM: 7429.0.0 19780 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 42.15 0.00 0.00
CMEM: 7427.0.0 19777 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 42.15 0.00 0.00
CMEM: 7425.0.0 19774 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7230.0.0 19334 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7208.0.0 19299 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7206.0.0 19296 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 6432.0.0 18135 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.79 0.00 0.00
CMEM: 7885.0.0 21090 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.79 0.00 0.00
CMEM: 7883.0.0 21087 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.79 0.00 0.00
CMEM: 7881.0.0 21084 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.79 0.00 0.00
CMEM: 7811.0.0 20909 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7809.0.0 20906 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7807.0.0 20903 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7395.0.0 19721 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7218.0.0 19314 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7210.0.0 19302 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7192.0.0 19275 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7190.0.0 19272 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7188.0.0 19269 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7186.0.0 19266 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7184.0.0 19263 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
CMEM: 7182.0.0 19260 0:0 0:0 0:0 0:0 0:0 0:0 0:0 0:0:0:0 41.73 0.00 0.00
